,B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E
"Block Group 2, Census Tract 41.01, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004101> block group:2",2831,1922,1922,1842,80,0,909
"Block Group 2, Census Tract 42.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004202> block group:2",1519,1277,1277,1269,8,0,242
"Block Group 1, Census Tract 37, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:003700> block group:1",1899,829,829,811,18,0,1070
"Block Group 4, Census Tract 37, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:003700> block group:4",1644,1155,1155,1116,39,0,489
"Block Group 2, Census Tract 38, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:003800> block group:2",2004,1414,1384,1364,20,30,590
"Block Group 3, Census Tract 38, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:003800> block group:3",1470,739,739,739,0,0,731
"Block Group 4, Census Tract 23, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:002300> block group:4",1453,1060,1060,1017,43,0,393
"Block Group 1, Census Tract 23, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:002300> block group:1",1028,682,682,658,24,0,346
"Block Group 3, Census Tract 23, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:002300> block group:3",411,216,216,216,0,0,195
"Block Group 4, Census Tract 26, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:002600> block group:4",1193,502,502,502,0,0,691
"Block Group 3, Census Tract 29, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:002900> block group:3",1474,962,962,916,46,0,512
"Block Group 2, Census Tract 29, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:002900> block group:2",775,466,466,466,0,0,309
"Block Group 3, Census Tract 40.01, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004001> block group:3",583,228,228,216,12,0,355
"Block Group 1, Census Tract 40.01, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004001> block group:1",3060,1889,1889,1881,8,0,1171
"Block Group 2, Census Tract 56, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:005600> block group:2",1482,962,962,888,74,0,520
"Block Group 1, Census Tract 13.01, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:001301> block group:1",1020,662,662,648,14,0,358
"Block Group 3, Census Tract 48.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004802> block group:3",1156,731,731,710,21,0,425
"Block Group 1, Census Tract 29, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:002900> block group:1",1153,768,768,678,90,0,385
"Block Group 4, Census Tract 5.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000502> block group:4",873,390,390,364,26,0,483
"Block Group 3, Census Tract 5.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000502> block group:3",602,493,493,426,67,0,109
"Block Group 2, Census Tract 24.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:002402> block group:2",1888,1298,1298,1229,69,0,590
"Block Group 1, Census Tract 24.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:002402> block group:1",1466,894,894,874,20,0,572
"Block Group 3, Census Tract 25.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:002502> block group:3",683,282,282,282,0,0,401
"Block Group 1, Census Tract 25.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:002502> block group:1",1957,1213,1213,1195,18,0,744
"Block Group 1, Census Tract 58, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:005800> block group:1",2386,1149,1149,1137,12,0,1237
"Block Group 3, Census Tract 57, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:005700> block group:3",1576,1154,1154,1143,11,0,422
"Block Group 1, Census Tract 57, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:005700> block group:1",1077,632,632,606,26,0,445
"Block Group 2, Census Tract 13.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:001302> block group:2",852,545,545,537,8,0,307
"Block Group 1, Census Tract 17, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:001700> block group:1",582,431,431,400,31,0,151
"Block Group 3, Census Tract 17, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:001700> block group:3",759,421,421,417,4,0,338
"Block Group 2, Census Tract 17, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:001700> block group:2",1430,621,621,544,77,0,809
"Block Group 2, Census Tract 19, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:001900> block group:2",1143,670,670,604,66,0,473
"Block Group 1, Census Tract 19, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:001900> block group:1",1251,817,817,690,127,0,434
"Block Group 2, Census Tract 23, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:002300> block group:2",1232,915,894,827,67,21,317
"Block Group 2, Census Tract 30.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:003002> block group:2",2113,1113,1113,1040,73,0,1000
"Block Group 1, Census Tract 36, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:003600> block group:1",1764,1049,1049,1022,27,0,715
"Block Group 2, Census Tract 36, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:003600> block group:2",476,231,231,214,17,0,245
"Block Group 1, Census Tract 55, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:005500> block group:1",1040,740,740,700,40,0,300
"Block Group 3, Census Tract 55, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:005500> block group:3",1948,920,920,864,56,0,1028
"Block Group 1, Census Tract 41.03, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004103> block group:1",2377,1279,1279,1239,40,0,1098
